Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Studi Komparatif Kinerja Reksadana Saham Konvensional dan Syariah Di Indonesia,http://download.garuda.kemdikbud.go.id/article.php?article=1542673&val=337&title=Studi%20Komparatif%20Kinerja%20Reksadana%20Saham%20Konvensional%20dan%20Syariah%20Di%20Indonesia,10.53990/dirham.v3i2.168,True,Studi Komparatif Kinerja Reksadana Saham Konvensional dan Syariah Di Indonesia.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",DIRHAM : Jurnal Ekonomi Islam,True,Scholar,"Rifa’i, Ahmad and Siregar, Muhammad Rafi"
Investasi reksadana syariah di Indonesia islamic mutual fund investment in Indonesia,https://www.academia.edu/download/84276324/670.pdf,,False,,2020,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,False,,F Andriani
Pengaruh Saham Dan Reksadana Syariah Terhadap Pertumbuhan Ekonomi Indonesia Tahun 2013-2019,https://garuda.kemdikbud.go.id/documents/detail/3510546,10.47134/jees.v1i2.135,True,,2024,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Environmental Economics and Sustainability,False,,"Riady, Achmad and Arsidiq, Nur Usbianto"
"Analisis Jumlah Uang Beredar, Inflasi dan Nilai Aktiva Bersih Reksadana Syariah",http://jes.unisla.ac.id/index.php/jes/article/view/127,10.30736/jesa.v6i2.127,True,,2021,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",JES (Jurnal Ekonomi Syariah),False,,"Setiawan, Firman and Qudziyah, Qudziyah"
Pengaruh Inflasi dan Nilai tukar rupiah terhadap nilai aktiva bersih reksadana syariah,https://journal.unesa.ac.id/index.php/jei/article/view/26405,10.35313/jaief.v2i3.3034,True,Pengaruh Inflasi dan Nilai tukar rupiah terhadap nilai aktiva bersih reksadana syariah.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Applied Islamic Economics and Finance,True,Scholar,"Apriyanto, Mohammad and Setyowati, Diharpi Herli and Mayasari, Ine"
Reksa dana,http://www.bri-mi.co.id/media/80267/equity_rd_etf-indonesia-top-40_2023.pdf,,False,Reksa dana.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,BE Indonesia
Pelatihan pengenalan investasi reksadana untuk pelajar SMK Ariya Metta,http://ejournal.atmajaya.ac.id/index.php/sabdamas/article/view/1003,,False,Pelatihan pengenalan investasi reksadana untuk pelajar SMK Ariya Metta.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,
Mekanisme Reksadana Syariah Melalui Aplikasi Bibit Perspektif Akad Wakalah bil Ujrah,http://repo.unida.gontor.ac.id/id/eprint/2960,10.24235/jm.v7i2.10729,True,Mekanisme Reksadana Syariah Melalui Aplikasi Bibit Perspektif Akad Wakalah bil Ujrah.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Al-Mustashfa: Jurnal Penelitian Hukum Ekonomi Syariah,True,Scholar,"Firdaus, Muhammad Irkham"
Pengaruh Inflasi Dan Suku Bunga Terhadap Kinerja Reksadana Saham Konvensional Tahun 2018-2021,http://ema-jurnal.unmerpas.ac.id/index.php/ekonomi/article/view/111,10.47335/ema.v7i1.111,True,Pengaruh Inflasi Dan Suku Bunga Terhadap Kinerja Reksadana Saham Konvensional Tahun 2018-2021.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal EMA,True,Scholar,"Saputri, Novi Eka and Yudiantoro, Deny"
Analisis Kinerja Reksadana Pasar Uang Dan Faktor-Faktor Yang Mempengaruhinya,http://ojs.unikom.ac.id/index.php/jika/article/view/3221,10.31846/jae.v5i3.134,True,Analisis Kinerja Reksadana Pasar Uang Dan Faktor-Faktor Yang Mempengaruhinya.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Apresiasi Ekonomi,True,Scholar,"Trianita, Mery and Yuhelmi, Yuhelmi"
Analisis Pengaruh Variabel Makro Ekonomi terhadap Nilai Aktiva Bersih Reksadana Saham Syariah Periode 2015-2019,https://jurnal.polban.ac.id/ojs-3.1.2/jaief/article/view/2468,10.24014/ekl.v4i1.12528,True,Analisis Pengaruh Variabel Makro Ekonomi terhadap Nilai Aktiva Bersih Reksadana Saham Syariah Periode 2015-2019.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Eklektik : Jurnal Pendidikan Ekonomi dan Kewirausahaan,True,Scholar,"Febriyani, Ainaya and Pratama, Abdul Aziz Nugraha and Ratno, Fernaldi Anggadha"
"Pengaruh inflasi, saham syariah, sukuk dan reksadana syariah terhadap pertumbuhan ekonomi nasional tahun 2013-2020",https://jurnal.unismuhpalu.ac.id/index.php/JSM/article/view/2435,10.47134/jees.v1i2.135,True,Pengaruh inflasi_ saham syariah_ sukuk dan reksadana syariah terhadap pertumbuhan ekonomi nasional tahun 2013-2020.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Environmental Economics and Sustainability,True,Scholar,"Riady, Achmad and Arsidiq, Nur Usbianto"
